version,query,location,paginationPayload,dupefilter,highlight,totalResults,start,end,pageNumber,results__jobtitle,results__company,results__city,results__state,results__country,results__formattedLocation,results__source,results__date,results__snippet,results__url,results__onmousedown,results__latitude,results__longitude,results__jobkey,results__sponsored,results__expired,results__indeedApply,results__formattedLocationFull,results__formattedRelativeTime,results__stations,Label
,,,,,,,,,,Software Developer (DataGrip),JetBrains,???????????,NVS,RU,???????????,JetBrains,"Sat, 11 Mar 2017 10:10:19 GMT","??????????? ? ??????? 2015 ?? ????????? ?????? ?????? ????? ?????????? ??? ??? ?????? ? ????????. ?????? ???????????, ? ??? ????? ???????????. ?????????,",http://ru.indeed.com/viewjob?jk=a1576ac6f1169bdc&qd=jRrx0GSHYhMzrHWTCmIiwZKLKDVtVJCBI7BNmKYKCxjxOPGKDYFiCVn1klEslxaUYueN-NeCEj-mrXhLq4rAYGuemS7qMtaKLcZS1801WAg40X9RqMmoWy146cYiCabl&indpubnum=898747077392090&atk=1bb5c56no1frq6m2,"indeed_clk(this,'5702');",55.03846,82.92308,a1576ac6f1169bdc,False,False,False,???????????,2 ??? ?????,,Information Technology
,,,,,,,,,,Software Developer - Singapore Citizens Only,Avatier,Singapore,S00,SG,Singapore,Avatier,"Tue, 21 Feb 2017 07:36:54 GMT",We are seeking highly motivated <b>Software</b> Developers to join our rapidly expanding team in Singapore. Avatier Singapore Pte Ltd sells Avatier's products and...,http://www.indeed.com.sg/viewjob?jk=89d7cacd5475aeb6&qd=jRrx0GSHYhMzrHWTCmIiwZKLKDVtVJCBI7BNmKYKCxjxOPGKDYFiCVn1klEslxaUAO6NPLzwvJC1-7omEyVnVSJ8VqdyAZvYZP4xD9_ReIckt0LCVy_rQinuMfW47e_m&indpubnum=898747077392090&atk=1bb5cefdi1fqr2kk,"indeed_clk(this,'9505');",1.288462,103.84615,89d7cacd5475aeb6,False,False,True,Singapore,20 days ago,,Information Technology
,,,,,,,,,,Accounts Job for BCOM & BBA Freshers (2015 & 2016 Passouts) - Chennai,Magna Infotech,Chennai,TN,IN,"Chennai, Tamil Nadu",Magna Infotech,"Sat, 28 Jan 2017 10:58:23 GMT",Only Account Graduates BCOM & BBA only (2015 & 2016 pass outs Only) Good communication/Good accounts Knowledge Flexible to work in Night Shift 2 way cab,http://www.indeed.co.in/viewjob?jk=499fa001d22e9395&qd=jRrx0GSHYhMzrHWTCmIiwYbz8xJs_3bSV420FAneb-LNZqGiAb9NkkIitZyZAD9iABMfxx1pnzhym1Td8PwIRd4RE-rrFa4o1astO76JbQo&indpubnum=898747077392090&atk=1bb5d6ape1d5f471,"indeed_clk(this,'1197');",13.085165,80.27473,499fa001d22e9395,False,False,False,"Chennai, Tamil Nadu",30+ days ago,,Marketing
2.0,"""Software Developer""",,,1.0,1.0,226.0,26.0,50.0,1.0,Software Developer/ Programmer in Singapore (89471),GECO Asia Pte Ltd,,,SG,Singapore,Indeed,"Tue, 14 Feb 2017 08:45:56 GMT","Senior <b>Software</b> <b>Developer</b>:. Special / <b>Software</b> <b>Developer</b>/ Programmer in Singapore. One of our clients is looking for a <b>Software</b> <b>Developer</b>/ Programmer, who is...",http://www.indeed.com.sg/viewjob?jk=c8e94e50032018ab&qd=jRrx0GSHYhMzrHWTCmIiwZKLKDVtVJCBI7BNmKYKCxjxOPGKDYFiCVn1klEslxaUAO6NPLzwvJC1-7omEyVnVVrv3FB1t_tkaDEsZzvL7nkkt0LCVy_rQinuMfW47e_m&indpubnum=898747077392090&atk=1bb5ceg2r1fls0h9,"indeed_clk(this,'186');",,,c8e94e50032018ab,False,False,True,Singapore,27 days ago,,Information Technology
,,,,,,,,,,Application Developer - Java in Singapore (89488),GECO Asia Pte Ltd,,,SG,Singapore,Indeed,"Tue, 28 Feb 2017 05:56:45 GMT",Curam <b>software</b> <b>developer</b> can range from 1 to 5 years experience in implementation and product development. Special / Application <b>Developer</b> - Java in Singapore....,http://www.indeed.com.sg/viewjob?jk=1d9ee4031411f24f&qd=jRrx0GSHYhMzrHWTCmIiwZKLKDVtVJCBI7BNmKYKCxjxOPGKDYFiCVn1klEslxaUAO6NPLzwvJC1-7omEyVnVSJ8VqdyAZvYZP4xD9_ReIckt0LCVy_rQinuMfW47e_m&indpubnum=898747077392090&atk=1bb5cefdi1fqr2kk,"indeed_clk(this,'9505');",,,1d9ee4031411f24f,False,False,True,Singapore,13 days ago,,Information Technology
,,,,,,,,,,Application Developer - Java in Singapore (89488),,Singapore,S00,SG,Singapore,Jobs Bank,"Tue, 28 Feb 2017 07:01:21 GMT",Curam <b>software</b> <b>developer</b> can range from 1 to 5 years experience in implementation and product development. Special / Application <b>Developer</b> - Java in Singapore....,http://www.indeed.com.sg/viewjob?jk=61085d1d255be256&qd=jRrx0GSHYhMzrHWTCmIiwZKLKDVtVJCBI7BNmKYKCxjxOPGKDYFiCVn1klEslxaUAO6NPLzwvJC1-7omEyVnVVrv3FB1t_tkaDEsZzvL7nkkt0LCVy_rQinuMfW47e_m&indpubnum=898747077392090&atk=1bb5cegnd1frc2dg,"indeed_clk(this,'844');",1.288462,103.84615,61085d1d255be256,False,False,True,Singapore,13 days ago,,Information Technology
,,,,,,,,,,Application Developer - .Net Developer in Singapore (89437),GECO Asia Pte Ltd,,,SG,Singapore,Indeed,"Mon, 23 Jan 2017 08:36:58 GMT",Senior <b>Software</b> <b>Developer</b>:. Special / Application <b>Developer</b> - .Net <b>Developer</b> in Singapore. One of our clients is looking for a Application <b>Developer</b> - .Net...,http://www.indeed.com.sg/viewjob?jk=1a8d4ae5baccb236&qd=jRrx0GSHYhMzrHWTCmIiwZKLKDVtVJCBI7BNmKYKCxjxOPGKDYFiCVn1klEslxaUAO6NPLzwvJC1-7omEyVnVVrv3FB1t_tkaDEsZzvL7nkkt0LCVy_rQinuMfW47e_m&indpubnum=898747077392090&atk=1bb5ceg2r1fls0h9,"indeed_clk(this,'186');",,,1a8d4ae5baccb236,False,False,True,Singapore,30+ days ago,,Information Technology
,,,,,,,,,,Software Developer/ Programmer in Singapore (89471),,People?s Park,S00,SG,People?s Park,Jobs Bank,"Tue, 14 Feb 2017 18:20:34 GMT","Special / <b>Software</b> <b>Developer</b>/ Programmer in Singapore. One of our clients is looking for a <b>Software</b> <b>Developer</b>/ Programmer, who is/are able to fulfill the...",http://www.indeed.com.sg/viewjob?jk=8af5b8fd292bc50c&qd=jRrx0GSHYhMzrHWTCmIiwZKLKDVtVJCBI7BNmKYKCxjxOPGKDYFiCVn1klEslxaUAO6NPLzwvJC1-7omEyVnVe8yNl7QShhNvYnthx37jkkkt0LCVy_rQinuMfW47e_m&indpubnum=898747077392090&atk=1bb5cei1qb04i8bd,"indeed_clk(this,'2201');",1.282967,103.84066,8af5b8fd292bc50c,False,False,True,People?s Park,27 days ago,,Information Technology
,,,,,,,,,,.NET Developer in Singapore (89342),GECO Asia Pte Ltd,,,SG,Singapore,Indeed,"Thu, 16 Feb 2017 09:57:29 GMT","Special / .NET <b>Developer</b> in Singapore. One of our clients is looking for a .NET <b>Developer</b>, who is/are able to fulfill the following requirements:....",http://www.indeed.com.sg/viewjob?jk=7cf28b06abd7d7fa&qd=jRrx0GSHYhMzrHWTCmIiwZKLKDVtVJCBI7BNmKYKCxjxOPGKDYFiCVn1klEslxaUAO6NPLzwvJC1-7omEyVnVSJ8VqdyAZvYZP4xD9_ReIckt0LCVy_rQinuMfW47e_m&indpubnum=898747077392090&atk=1bb5cefdi1fqr2kk,"indeed_clk(this,'9505');",,,7cf28b06abd7d7fa,False,False,True,Singapore,25 days ago,,Information Technology
,,,,,,,,,,Sr.java Developer for MITS @ Singapore,Millennium Technosoft,,,SG,Singapore,Millennium Technosoft,"Fri, 17 Feb 2017 18:30:15 GMT",IT-<b>Software</b> / <b>Software</b> Services. JAVA <b>Developer</b> position for our Client MITS (Hyderabad) to work in Singapore. 5 Experience in the Websites development and able...,http://www.indeed.com.sg/viewjob?jk=4769209b496a921c&qd=jRrx0GSHYhMzrHWTCmIiwZKLKDVtVJCBI7BNmKYKCxjxOPGKDYFiCVn1klEslxaUAO6NPLzwvJC1-7omEyVnVSJ8VqdyAZvYZP4xD9_ReIckt0LCVy_rQinuMfW47e_m&indpubnum=898747077392090&atk=1bb5cefdi1fqr2kk,"indeed_clk(this,'9505');",,,4769209b496a921c,False,False,False,Singapore,24 days ago,,Information Technology
,,,,,,,,,,Junior Lawyer Financial Markets | SINGAPORE,Taylor Root Global Legal Recruitment,Sydney,NSW,AU,Sydney NSW,Taylor Root Global Legal Recruitment,"Wed, 22 Feb 2017 03:01:45 GMT",We are currently recruiting for a Magic Circle firm in Singapore who are looking for a junior <b>lawyer</b> to join their Financial Markets team....,http://au.indeed.com/viewjob?jk=576fa298759c2e92&qd=jRrx0GSHYhMzrHWTCmIiweDgVAXsLSGHCIKr00zX_aivxOAzxA0V_gj2BEWDdNfMBRP7CidhB21GgmUCRhwHjBvGIW-3EgEm3dDvzOw_HqA&indpubnum=898747077392090&atk=1bb5dacee1d4u014,"indeed_clk(this,'3965');",-33.865383,151.2033,576fa298759c2e92,False,False,False,Sydney NSW,20 days ago,,Legal
